iter	Passed	Remaining
0	35	105387
1	69	104242
2	98	98462
3	132	99034
4	163	97988
5	194	97179
6	228	97626
7	264	98870
8	298	99322
9	331	99077
10	362	98580
11	395	98564
12	427	98236
13	456	97399
14	484	96418
15	515	96147
16	543	95311
17	572	94888
18	600	94229
19	632	94171
20	671	95192
21	703	95293
22	740	95867
23	771	95642
24	801	95405
25	850	97296
26	890	98012
27	920	97679
28	950	97361
29	982	97232
30	1014	97141
31	1045	96989
32	1075	96681
33	1108	96689
34	1136	96279
35	1167	96141
36	1198	95972
37	1228	95743
38	1260	95707
39	1293	95724
40	1324	95566
41	1354	95423
42	1384	95210
43	1414	95005
44	1440	94605
45	1468	94320
46	1496	94010
47	1525	93839
48	1554	93627
49	1587	93635
50	1613	93302
51	1647	93423
52	1681	93499
53	1709	93286
54	1738	93113
55	1769	93027
56	1796	92739
57	1825	92579
58	1851	92284
59	1880	92140
60	1907	91908
61	1935	91694
62	1960	91402
63	1985	91092
64	2010	90776
65	2038	90602
66	2066	90441
67	2093	90246
68	2122	90167
69	2153	90134
70	2183	90084
71	2215	90104
72	2244	90003
73	2271	89826
74	2299	89665
75	2324	89450
76	2352	89288
77	2380	89177
78	2409	89095
79	2448	89377
80	2483	89484
81	2516	89533
82	2548	89549
83	2582	89651
84	2610	89541
85	2642	89538
86	2672	89474
87	2701	89390
88	2728	89243
89	2754	89051
90	2783	88968
91	2810	88848
92	2838	88730
93	2866	88620
94	2895	88554
95	2923	88424
96	2950	88312
97	2978	88198
98	3008	88169
99	3039	88156
100	3070	88123
101	3100	88097
102	3131	88072
103	3161	88041
104	3192	88024
105	3219	87907
106	3251	87903
107	3281	87868
108	3313	87874
109	3338	87724
110	3366	87628
111	3397	87599
112	3427	87565
113	3455	87477
114	3484	87411
115	3512	87333
116	3546	87383
117	3569	87182
118	3595	87045
119	3622	86930
120	3651	86879
121	3682	86866
122	3711	86810
123	3740	86755
124	3765	86597
125	3790	86451
126	3819	86407
127	3847	86336
128	3876	86278
129	3901	86142
130	3931	86096
131	3959	86021
132	3986	85936
133	4013	85838
134	4039	85734
135	4068	85673
136	4095	85590
137	4127	85591
138	4156	85543
139	4184	85479
140	4210	85372
141	4238	85316
142	4268	85285
143	4299	85274
144	4326	85192
145	4356	85170
146	4384	85098
147	4409	84980
148	4437	84913
149	4465	84842
150	4492	84764
151	4518	84667
152	4544	84567
153	4578	84606
154	4626	84927
155	4668	85102
156	4706	85218
157	4738	85237
158	4768	85198
159	4796	85130
160	4826	85099
161	4855	85056
162	4885	85030
163	4915	85009
164	4943	84930
165	4971	84873
166	4999	84819
167	5031	84816
168	5060	84762
169	5085	84659
170	5113	84601
171	5142	84553
172	5172	84518
173	5202	84498
174	5232	84468
175	5262	84432
176	5289	84365
177	5315	84277
178	5341	84185
179	5368	84105
180	5397	84067
181	5429	84073
182	5459	84036
183	5491	84042
184	5526	84089
185	5557	84073
186	5588	84059
187	5617	84016
188	5650	84042
189	5679	84003
190	5709	83973
191	5736	83891
192	5763	83818
193	5791	83764
194	5819	83711
195	5848	83673
196	5876	83618
197	5905	83571
198	5932	83505
199	5960	83447
200	5991	83432
201	6017	83348
202	6048	83342
203	6077	83294
204	6104	83227
205	6131	83164
206	6163	83163
207	6192	83121
208	6220	83073
209	6250	83036
210	6278	82991
211	6307	82950
212	6335	82890
213	6366	82887
214	6396	82851
215	6421	82767
216	6449	82717
217	6478	82672
218	6506	82628
219	6534	82571
220	6566	82571
221	6596	82549
222	6628	82541
223	6658	82520
224	6684	82445
225	6715	82431
226	6741	82355
227	6773	82353
228	6810	82409
229	6841	82393
230	6874	82400
231	6908	82425
232	6940	82418
233	6969	82388
234	6999	82351
235	7028	82318
236	7056	82268
237	7083	82204
238	7109	82135
239	7140	82112
240	7168	82060
241	7195	82010
242	7226	81994
243	7258	81986
244	7285	81927
245	7316	81908
246	7346	81885
247	7374	81830
248	7404	81801
249	7432	81759
250	7460	81714
251	7489	81669
252	7517	81619
253	7546	81584
254	7578	81578
255	7604	81511
256	7632	81465
257	7658	81396
258	7686	81347
259	7714	81298
260	7742	81252
261	7769	81189
262	7794	81116
263	7819	81033
264	7844	80965
265	7873	80928
266	7901	80884
267	7926	80804
268	7953	80749
269	7980	80692
270	8005	80619
271	8032	80559
272	8059	80509
273	8085	80438
274	8111	80376
275	8142	80364
276	8168	80300
277	8202	80310
278	8227	80242
279	8254	80187
280	8282	80144
281	8311	80105
282	8338	80051
283	8365	80005
284	8392	79949
285	8419	79895
286	8447	79856
287	8475	79813
288	8506	79798
289	8535	79764
290	8563	79720
291	8593	79696
292	8623	79671
293	8648	79601
294	8678	79581
295	8708	79553
296	8741	79555
297	8770	79523
298	8798	79483
299	8826	79439
300	8856	79410
301	8883	79363
302	8912	79326
303	8944	79323
304	8979	79345
305	9015	79372
306	9049	79381
307	9080	79366
308	9113	79369
309	9143	79343
310	9172	79311
311	9201	79274
312	9231	79250
313	9259	79203
314	9290	79188
315	9320	79162
316	9350	79139
317	9376	79084
318	9406	79058
319	9435	79022
320	9461	78963
321	9488	78917
322	9517	78883
323	9544	78831
324	9574	78806
325	9602	78762
326	9632	78738
327	9658	78680
328	9687	78649
329	9718	78629
330	9746	78586
331	9773	78543
332	9801	78499
333	9832	78481
334	9862	78457
335	9891	78428
336	9922	78405
337	9952	78380
338	9981	78350
339	10012	78333
340	10043	78315
341	10075	78304
342	10107	78294
343	10136	78262
344	10166	78236
345	10198	78224
346	10227	78196
347	10255	78156
348	10285	78124
349	10314	78093
350	10343	78060
351	10371	78022
352	10401	77993
353	10428	77949
354	10456	77908
355	10484	77865
356	10514	77843
357	10543	77810
358	10569	77754
359	10596	77708
360	10624	77666
361	10653	77636
362	10685	77620
363	10716	77604
364	10748	77598
365	10778	77567
366	10807	77533
367	10836	77505
368	10867	77487
369	10896	77453
370	10922	77398
371	10951	77363
372	10980	77332
373	11008	77295
374	11036	77256
375	11067	77239
376	11098	77216
377	11135	77238
378	11179	77315
379	11222	77372
380	11254	77366
381	11288	77361
382	11321	77356
383	11357	77372
384	11389	77359
385	11422	77351
386	11452	77328
387	11487	77335
388	11519	77316
389	11548	77289
390	11581	77276
391	11610	77245
392	11641	77221
393	11670	77192
394	11703	77180
395	11735	77171
396	11779	77236
397	11814	77237
398	11844	77212
399	11873	77180
400	11903	77153
401	11932	77114
402	11963	77096
403	11995	77078
404	12025	77051
405	12054	77020
406	12082	76976
407	12111	76941
408	12141	76912
409	12172	76892
410	12203	76871
411	12235	76858
412	12269	76852
413	12299	76827
414	12330	76806
415	12360	76777
416	12392	76763
417	12421	76728
418	12453	76710
419	12481	76673
420	12510	76637
421	12536	76584
422	12565	76553
423	12592	76508
424	12621	76471
425	12649	76433
426	12684	76434
427	12717	76425
428	12748	76401
429	12779	76378
430	12807	76342
431	12837	76309
432	12868	76292
433	12895	76246
434	12924	76207
435	12951	76167
436	12978	76117
437	13007	76085
438	13037	76056
439	13065	76016
440	13092	75974
441	13124	75955
442	13152	75918
443	13181	75880
444	13209	75840
445	13240	75823
446	13270	75791
447	13299	75760
448	13333	75754
449	13367	75751
450	13400	75739
451	13432	75723
452	13469	75730
453	13503	75728
454	13537	75723
455	13567	75694
456	13594	75647
457	13625	75626
458	13653	75587
459	13683	75556
460	13715	75541
461	13746	75515
462	13777	75493
463	13806	75457
464	13837	75436
465	13867	75405
466	13895	75370
467	13925	75342
468	13956	75316
469	13985	75281
470	14015	75253
471	14044	75222
472	14075	75198
473	14104	75162
474	14137	75150
475	14167	75126
476	14197	75095
477	14227	75065
478	14257	75035
479	14283	74989
480	14311	74947
481	14338	74904
482	14368	74874
483	14398	74849
484	14428	74817
485	14457	74786
486	14486	74754
487	14517	74727
488	14545	74692
489	14574	74658
490	14601	74611
491	14629	74575
492	14654	74521
493	14683	74486
494	14709	74440
495	14737	74398
496	14769	74381
497	14799	74355
498	14827	74316
499	14855	74278
500	14884	74244
501	14913	74213
502	14941	74173
503	14970	74138
504	14997	74097
505	15024	74052
506	15049	74001
507	15079	73973
508	15110	73949
509	15139	73916
510	15170	73890
511	15197	73850
512	15225	73812
513	15252	73769
514	15280	73731
515	15307	73689
516	15336	73659
517	15366	73627
518	15394	73589
519	15421	73548
520	15448	73505
521	15478	73476
522	15510	73459
523	15548	73468
524	15579	73447
525	15609	73416
526	15642	73404
527	15673	73379
528	15700	73339
529	15724	73283
530	15753	73248
531	15782	73217
532	15812	73189
533	15844	73169
534	15873	73134
535	15906	73123
536	15939	73108
537	15969	73079
538	15996	73038
539	16029	73022
540	16059	72996
541	16091	72974
542	16123	72957
543	16153	72926
544	16183	72900
545	16218	72893
546	16249	72870
547	16279	72841
548	16314	72834
549	16344	72806
550	16377	72792
551	16412	72787
552	16449	72787
553	16482	72773
554	16513	72749
555	16545	72728
556	16575	72701
557	16609	72689
558	16640	72664
559	16672	72646
560	16707	72636
561	16738	72611
562	16771	72596
563	16805	72585
564	16834	72552
565	16865	72526
566	16891	72481
567	16917	72433
568	16945	72400
569	16973	72360
570	17000	72319
571	17028	72282
572	17056	72246
573	17084	72207
574	17115	72182
575	17144	72149
576	17172	72111
577	17199	72071
578	17226	72031
579	17256	72001
580	17286	71971
581	17312	71926
582	17340	71888
583	17368	71854
584	17397	71818
585	17424	71778
586	17453	71748
587	17482	71712
588	17509	71671
589	17537	71636
590	17564	71594
591	17595	71570
592	17620	71522
593	17646	71476
594	17674	71441
595	17703	71407
596	17729	71363
597	17756	71324
598	17785	71289
599	17815	71260
600	17849	71247
601	17883	71238
602	17918	71229
603	17953	71218
604	17985	71199
605	18014	71166
606	18041	71126
607	18074	71107
608	18105	71086
609	18131	71041
610	18158	71000
611	18187	70965
612	18214	70928
613	18242	70888
614	18265	70835
615	18294	70801
616	18320	70756
617	18347	70716
618	18376	70686
619	18404	70649
620	18430	70604
621	18457	70566
622	18486	70534
623	18517	70507
624	18544	70467
625	18573	70435
626	18601	70400
627	18626	70354
628	18654	70319
629	18683	70285
630	18713	70257
631	18741	70223
632	18770	70188
633	18799	70158
634	18828	70124
635	18858	70096
636	18884	70055
637	18913	70022
638	18942	69989
639	18973	69965
640	19007	69950
641	19040	69932
642	19070	69905
643	19100	69875
644	19129	69846
645	19159	69817
646	19189	69788
647	19222	69771
648	19251	69738
649	19281	69709
650	19311	69682
651	19340	69647
652	19365	69604
653	19392	69565
654	19421	69533
655	19447	69489
656	19478	69465
657	19507	69432
658	19538	69408
659	19571	69388
660	19600	69358
661	19633	69338
662	19664	69314
663	19695	69289
664	19727	69267
665	19759	69247
666	19792	69229
667	19823	69203
668	19853	69176
669	19883	69147
670	19914	69120
671	19944	69094
672	19972	69057
673	20003	69033
674	20035	69010
675	20067	68989
676	20101	68975
677	20133	68952
678	20167	68938
679	20198	68912
680	20231	68894
681	20263	68872
682	20291	68836
683	20319	68800
684	20346	68761
685	20376	68734
686	20405	68699
687	20434	68669
688	20465	68642
689	20496	68619
690	20528	68596
691	20556	68560
692	20586	68533
693	20613	68494
694	20642	68463
695	20671	68430
696	20699	68395
697	20729	68366
698	20761	68345
699	20793	68322
700	20825	68300
701	20857	68276
702	20888	68251
703	20917	68219
704	20949	68196
705	20979	68168
706	21010	68143
707	21039	68109
708	21072	68093
709	21100	68057
710	21130	68027
711	21164	68013
712	21193	67980
713	21222	67946
714	21249	67910
715	21276	67871
716	21304	67836
717	21332	67802
